,Rate,Review,Movie_name
129,10,"Incredibly moving, funny and haunting",刺激1995
130,10,really superb,刺激1995
131,10,Masterpiece.,刺激1995
132,9,I dont care about it but its a good relaxing movie!,刺激1995
133,7,Undeservedly top 1,刺激1995
134,10,The best movie i ever watched,刺激1995
135,10,What a movie!!!,刺激1995
136,10,Best of all time!!!,刺激1995
137,9,One of the best - of all time. Seriously.,刺激1995
138,10,AN EXCELLENT MASTERPIECE !!,刺激1995
139,10,NOT just a prison movie,刺激1995
140,10,"Blatantly Simple, yet Utterly Beautiful",刺激1995
141,10,A true story of friendship and hard times,刺激1995
142,9,You'll get it when you see it.,刺激1995
143,3,Too flawed,刺激1995
144,10,best movie ever,刺激1995
145,3,I thought there were supposed to be no fairytales?,刺激1995
146,10,For When You Need to (Re)Watch A Good Movie,刺激1995
147,7,Why so high?,刺激1995
148,6,Escape from Shawshank,刺激1995
149,10,WYLION - Do you trust your wife? You can definitely trust me!,刺激1995
150,9,"Graceful, intriguing Tim Robbins triumph",刺激1995
151,9,Perfect,刺激1995
152,10,First 10 I have ever given out,刺激1995
153,10,I thought I'd discovered this movie,刺激1995
154,6,Overrated,刺激1995
155,3,"Sometimes, we all just don't agree.",刺激1995
156,7,"Very good, but probably over-praised",刺激1995
157,10,A Masterpiece,刺激1995
158,10,One of my TOP TEN,刺激1995
159,10,The Shawshank Redemption,刺激1995
160,3,"Not worth the hype, a script full of shortcuts",刺激1995
161,10,"If you haven't seen this movie, stop everything and watch it right now",刺激1995
162,8,Breaking Big Rocks Into Little Rocks,刺激1995
163,6,Good movie - Number 1 ??? No way,刺激1995
164,10,Perfectly written. Perfectly directed. Perfectly cast. Perfectly acted. Perfect,刺激1995
165,10,Don't Watch This Movie!! (Unless you want to Cry),刺激1995
166,8,The best film of all time ?,刺激1995
167,8,"A great film, but #2?",刺激1995
168,3,Morgan Freeman is the only great thing in this movie,刺激1995
169,10,My second favorite movie of all time,刺激1995
170,10,Absolutely brilliant,刺激1995
171,10,Greatness,刺激1995
172,3,Entertaining but still very much a piece of fiction,刺激1995
173,8,Meh? Only Joking!,刺激1995
174,10,One of the best movies I've ever seen,刺激1995
175,10,#2086,刺激1995
176,10,Decided to give it a try and..,刺激1995
177,10,One word. Outstanding.,刺激1995
178,10,Exceptional,刺激1995
179,8,Probably Not #1,刺激1995
180,4,"Overlong, Overblown and Over-rated",刺激1995
181,10,Best movie ever!!,刺激1995
182,10,An amazing tale of hope and patience,刺激1995
183,10,A prison drama starring Tim Robbins and Morgan Freeman.,刺激1995
184,10,nice,刺激1995
185,3,The Prison Of Storytelling,刺激1995
186,8,Highly Overrated But Only Good,刺激1995
187,10,"Review of ""The Shawshank Redemption""",刺激1995
188,10,"Prison thriller with violence, hatred, corruption, friendship and joy.",刺激1995
189,10,One of the best movies I have ever seen,刺激1995
190,3,absurdly overrated,刺激1995
191,10,Simply Perfect,刺激1995
192,10,Greatest movie of all time!,刺激1995
193,6,"A genre picture, but a satisfying one...",刺激1995
194,10,About a very very long escape from prison,刺激1995
195,10,I make the questions here!,刺激1995
196,6,"Reasonably good...but far too clichéd to be called ""great""",刺激1995
197,10,Magical film,刺激1995
198,10,A movie revolution upon all others,刺激1995
199,7,A cute and sentimental prison drama?,刺激1995
