,Rate,Review,Movie_name
0,10,So good in so many ways,回到未來
1,10,How could anything be more fun than this?,回到未來
2,10,Great movie,回到未來
3,10,A classic masterpiece the original the only best my favorite time travel film of all time,回到未來
4,10,An '80s classic that never disappoints,回到未來
5,9,Gets Better With Age,回到未來
6,10,Huge fun.,回到未來
7,10,A film you can watch time and time again.,回到未來
8,10,Absolute Classic,回到未來
9,10,Part 1-Goodness gracious! Great balls of fire!,回到未來
10,9,Let your imagination fly,回到未來
11,10,The Lost Blockbuster,回到未來
12,9,Great Scott! Back to the Future is a great time-travel movie!,回到未來
13,10,1.21 giga watts of awesomeness,回到未來
14,10,As close as you can get to a perfect movie,回到未來
15,10,Best Part of a the Best Movie Ever,回到未來
16,9,Pure Genius,回到未來
17,10,Earth Angel And The Nuclear DeLorean.,回到未來
18,9,Proof that Hollywood once was capable of putting magic on film,回到未來
19,10,"After 30 years, the original Back to the Future is still the best of the series!",回到未來
20,10,One Of The Greatest Films Ever Made. An Excellent And Unforgettable Classic.,回到未來
21,10,My All Time Favorite Movie!,回到未來
22,10,"If your trying to find the perfect movie, here you have it.",回到未來
23,9,So Much Fun,回到未來
24,10,A time travel movie that never gets old.,回到未來
25,10,Both Humorous and Entertaining,回到未來
26,10,Everything that's great about the '80s. And cinema.,回到未來
27,9,The man who was never born,回到未來
28,9,Shouldn't work...but it does,回到未來
29,9,Great sci-fi adventure for all the family,回到未來
30,10,Old Man Peabody owned all of this!,回到未來
31,9,"Lots of fun, just don't think too hard",回到未來
32,10,The cleverest of the three.,回到未來
33,8,Crowd-pleasing time travel movie,回到未來
34,9,"'80s time-travel movie which has laughs, romance and action!!!!!!",回到未來
35,10,the best 80s film ever.,回到未來
36,8,rare 80s joy,回到未來
37,8,One of the finest Sci-Fi movies ever,回到未來
38,9,A timeless 80's classic,回到未來
39,8,Still the best time travelling movie of all time.,回到未來
40,9,Great!,回到未來
41,10,"""When this baby hit's 88 miles an hour, you're gonna see some serious ****"")",回到未來
42,8,"""Yeah well, history is gonna change.""",回到未來
43,10,Brilliant Scenario!,回到未來
44,10,Spaceman From Pluto,回到未來
45,10,A Wonderful Sci-Fi Adventure,回到未來
46,10,Pure fun and entertaining time travel movie!,回到未來
47,10,Iconic,回到未來
48,8,Back to the future,回到未來
49,10,"A Brilliant Story that will Entertain for Years to come,",回到未來
50,6,What a ride,回到未來
51,9,Go Back and Watch It Again!,回到未來
52,10,Such a fantastic movie...,回到未來
53,10,A Perfect Film,回到未來
54,9,Wonderful story Wonderful Michael J Fox,回到未來
55,10,Great Scott! Strap in for some entertaining time travel...,回到未來
