,Rate,Review,Movie_name
0,10,In one word: perfection,四海好傢伙
1,10,An Offer You Can't Refuse...,四海好傢伙
2,10,The best mobster film ever made,四海好傢伙
3,10,A great director at the peak of his talents,四海好傢伙
4,10,One word: priceless,四海好傢伙
5,10,The greatest mob film still today,四海好傢伙
6,10,Iconic,四海好傢伙
7,10,Aged like a fine wine,四海好傢伙
8,10,Instant classic,四海好傢伙
9,9,The Criminal Mindset,四海好傢伙
10,8,Slightly disappointed but still very good,四海好傢伙
11,6,As good as those fellas are...I just don't get it,四海好傢伙
12,10,Scorsese's best,四海好傢伙
13,10,Watching Goodfellas- lost count of how many times to watch,四海好傢伙
14,8,A classic mobster film.,四海好傢伙
15,10,Martin Scorsese's masterpiece.,四海好傢伙
16,10,Scorsese's masterpiece stands the test of time,四海好傢伙
17,10,Rightfully hailed as one of the greatest gangster epics of all time,四海好傢伙
18,7,"Slick, flashy, often brilliant, yet cannot make you give a hoot about its characters",四海好傢伙
19,8,"The characters don't have the depth of those in ""The Godfather.""",四海好傢伙
20,10,Other mafia films struggle to hit same heights,四海好傢伙
21,10,The pinnicle,四海好傢伙
22,9,A true classic,四海好傢伙
23,9,"""The way I saw it, everybody takes a beating sometime"".",四海好傢伙
24,10,Great lark,四海好傢伙
25,10,A masterpiece exposing misguided loyalties and greed,四海好傢伙
26,9,"Can A Sick Film Be A Good One, too? I Guess So.",四海好傢伙
27,10,This is an American Classic,四海好傢伙
28,10,A Real Portrayal of All That Is Bad,四海好傢伙
29,8,"Graphic and glorious, just in need of condensation",四海好傢伙
30,6,"Wiseguy mayhem, an artistic triumph but occasionally off-putting",四海好傢伙
31,5,Just plain overrated,四海好傢伙
32,3,May I differ?,四海好傢伙
33,8,"Superb on the surface, but missing depth.",四海好傢伙
34,10,Bad Fellas,四海好傢伙
35,10,Pow right in the kisser,四海好傢伙
36,10,Another version of the Godfather? No! Great movie? Yes!,四海好傢伙
37,4,Shallow Ultraviolence and Slimy Characters. Overrated Movie,四海好傢伙
38,9,Incredible crime drama,四海好傢伙
39,10,"""He shoots him in the foot, he tells him to go f**k himself.""",四海好傢伙
40,10,One of my all time favourite films,四海好傢伙
41,10,A perfect film.,四海好傢伙
42,10,One of the greatest if not the greatest crime films ever made,四海好傢伙
43,4,Jon Monsarrat review: too arty & violent,四海好傢伙
44,10,The Ultimate Gangster Film,四海好傢伙
45,10,"As far back as I can remember, I always wanted to be a gangster...",四海好傢伙
46,8,A masterpiece,四海好傢伙
47,9,Goodfellas,四海好傢伙
48,10,Wanna Be a Wise guy?,四海好傢伙
49,10,One of the great mob movies,四海好傢伙
50,9,One of the best Mafia films ever made.,四海好傢伙
51,9,Scorcese's Best,四海好傢伙
52,10,Classic film............,四海好傢伙
53,10,That's gangster,四海好傢伙
54,8,Plot shy but still a decent movie.,四海好傢伙
55,10,Peak Scorsese,四海好傢伙
56,10,Have a look,四海好傢伙
57,10,Excellent film,四海好傢伙
58,4,"Not a bad movie, but not that great either",四海好傢伙
59,8,Inside The mob,四海好傢伙
60,3,a repulsive movie,四海好傢伙
61,10,What's left to say?,四海好傢伙
62,10,A classic. Durp.,四海好傢伙
63,7,"""Good But Not Great"" Fellas",四海好傢伙
64,7,Violent and overlong quintaessential mobster movie competently made by Scorsese,四海好傢伙
65,7,interesting but deeply flawed,四海好傢伙
66,2,Tedious cartoon characterizations,四海好傢伙
67,10,Can't believe this movie is 30 years old,四海好傢伙
68,10,Cinematic perfection (minor spoilers),四海好傢伙
69,9,"""do i amuse you?""",四海好傢伙
70,7,True gangster saga packs a wallop...,四海好傢伙
71,2,"""Look, he just killed him for no reason!!! Oh look he just hit that guy's head 200 times, man this movie is great!!!"" NO.",四海好傢伙
72,10,How is Joe Pesci funny? Probably for the same reason that this is a masterpiece.,四海好傢伙
73,8,The end didn't satisfy me that much!,四海好傢伙
74,3,Quite terrible,四海好傢伙
75,9,One of the best Mob movies ever,四海好傢伙
76,7,Liotta,四海好傢伙
77,10,A Masterclass in Gangster Films,四海好傢伙
78,1,Most overrated movie ever!,四海好傢伙
79,10,Masterful Manipulation,四海好傢伙
80,7,An Inside Look,四海好傢伙
81,10,I loved everything about this movie,四海好傢伙
82,7,"Scorsese's snappy, hip Mafia flick with Ray Liotta, De Niro, Joe Pesci and Paul Sorvino",四海好傢伙
83,9,A definitive gangster film,四海好傢伙
84,8,Filmed with a ferocious verve and cinematic yet fly-on-the-wall feel.,四海好傢伙
85,5,"Good performances,but I'm not a fan of the genre.",四海好傢伙
86,10,Great adaptation,四海好傢伙
87,10,Choose the right path,四海好傢伙
88,10,Greatest Gangster Movie of All-Time,四海好傢伙
