,Rate,Review,Movie_name
0,8,Good,星際大戰六部曲：絕地大反攻
1,10,The most peculiar Star Wars and under appreciated,星際大戰六部曲：絕地大反攻
2,10,"The Boy Who Loved ""Star Wars""",星際大戰六部曲：絕地大反攻
3,10,Good,星際大戰六部曲：絕地大反攻
4,9,One Of The Best In The Series,星際大戰六部曲：絕地大反攻
5,10,This movie doesnt get as much credit for its greatness that it should,星際大戰六部曲：絕地大反攻
6,10,a lovely conclusion to one of the greatest trilogies of all time,星際大戰六部曲：絕地大反攻
7,8,"Flawed, very entertaining solid third sequel an epic conclusion to the original trilogy!",星際大戰六部曲：絕地大反攻
8,7,"36 years and 737 reviews later, what is new left to be said?...",星際大戰六部曲：絕地大反攻
9,10,My favorite ending of all time.,星際大戰六部曲：絕地大反攻
10,10,The end of the Star Wars Saga,星際大戰六部曲：絕地大反攻
11,9,"My least favourite film from the original trilogy, but it still makes for essential viewing",星際大戰六部曲：絕地大反攻
12,10,Underrated,星際大戰六部曲：絕地大反攻
13,5,"Its fun, but full of holes and inconsistencies",星際大戰六部曲：絕地大反攻
14,9,Strongest of the Series Besides Episode 4,星際大戰六部曲：絕地大反攻
15,9,Vader's redemption,星際大戰六部曲：絕地大反攻
16,10,The Last Jedi,星際大戰六部曲：絕地大反攻
17,8,The perfect ending for the perfect trilogy 8/10,星際大戰六部曲：絕地大反攻
18,10,Real END,星際大戰六部曲：絕地大反攻
19,9,A touching end,星際大戰六部曲：絕地大反攻
20,7,Age helps final episode of sci-fi saga,星際大戰六部曲：絕地大反攻
21,10,...and the trilogy is finished with yet another great film.,星際大戰六部曲：絕地大反攻
22,10,All things must come to an end... even a classic space saga.,星際大戰六部曲：絕地大反攻
23,10,The perfect ending to Star Wars.,星際大戰六部曲：絕地大反攻
24,10,The Empire finally Falls....,星際大戰六部曲：絕地大反攻
25,9,The end of the Star Wars saga?,星際大戰六部曲：絕地大反攻
26,10,An excellent way to end the saga. It's full of adventure and it puts closure on the dark side.,星際大戰六部曲：絕地大反攻
27,10,The force is with you always,星際大戰六部曲：絕地大反攻
28,10,The Greatest and Most Undervalued Star Wars Film,星際大戰六部曲：絕地大反攻
29,9,Best of the lot,星際大戰六部曲：絕地大反攻
30,9,Probably my favorite Star Wars movie,星際大戰六部曲：絕地大反攻
31,9,They should have left it here,星際大戰六部曲：絕地大反攻
32,9,Star Wars Return of the Jedi,星際大戰六部曲：絕地大反攻
33,7,Weakest of the Trilogy,星際大戰六部曲：絕地大反攻
34,10,Spectacular finish to the Star Wars saga.,星際大戰六部曲：絕地大反攻
35,9,"Underrated, and completely satisfying",星際大戰六部曲：絕地大反攻
36,8,A fine ending - especially after having seen Episode III,星際大戰六部曲：絕地大反攻
37,6,"The least effective of the original trilogy, but packed with charm and excitement",星際大戰六部曲：絕地大反攻
38,9,"Very good, if not perfect 'Jedi'",星際大戰六部曲：絕地大反攻
39,9,"The Last Of The Force, I Doubt It",星際大戰六部曲：絕地大反攻
40,8,"WEAKEST OF THE ORIGINAL TRILOGY, BUT STILL A BLAST.",星際大戰六部曲：絕地大反攻
41,9,The True End of the Skywalker Saga,星際大戰六部曲：絕地大反攻
42,10,Second best SW film,星際大戰六部曲：絕地大反攻
43,8,Very good but inferior to the others,星際大戰六部曲：絕地大反攻
44,10,The finale of the main trilogy.,星際大戰六部曲：絕地大反攻
45,10,Best Ending to the Trilogy. So Beautiful,星際大戰六部曲：絕地大反攻
46,10,Episode 6,星際大戰六部曲：絕地大反攻
47,9,A great ending to the trilogy,星際大戰六部曲：絕地大反攻
48,7,The Weakest of the Originals,星際大戰六部曲：絕地大反攻
49,10,Just as strong as its predecessors,星際大戰六部曲：絕地大反攻
50,10,The Best of the Series,星際大戰六部曲：絕地大反攻
51,9,Epic conclusion of the first trilogy,星際大戰六部曲：絕地大反攻
52,4,Uhhgg!,星際大戰六部曲：絕地大反攻
53,10,Greatest Cinematic Film Of All Time,星際大戰六部曲：絕地大反攻
54,5,EWOKS ARE PANTS,星際大戰六部曲：絕地大反攻
55,10,This is not a honest review,星際大戰六部曲：絕地大反攻
56,9,The Best of the Original Trilogy!,星際大戰六部曲：絕地大反攻
57,10,A great ending for the trilogy,星際大戰六部曲：絕地大反攻
58,10,Still my favorite Star Wars movie,星際大戰六部曲：絕地大反攻
59,7,Not quite a Jabba Dabba Honeymoon.,星際大戰六部曲：絕地大反攻
60,8,This is not quite Bantha fodder.,星際大戰六部曲：絕地大反攻
61,7,"weakest of the ""OT"" -- but still a delight",星際大戰六部曲：絕地大反攻
62,10,A great wrap on the original story,星際大戰六部曲：絕地大反攻
63,7,"Fun, cute, imaginative, iconic space adventure with a kick-axx cast",星際大戰六部曲：絕地大反攻
64,5,This movie should not have been altered.,星際大戰六部曲：絕地大反攻
65,9,The satisfying conclusion Star Wars deserved,星際大戰六部曲：絕地大反攻
66,8,Jedi hard with a vengeance.,星際大戰六部曲：絕地大反攻
67,6,"At this point, it was starting to get gimmicky.",星際大戰六部曲：絕地大反攻
68,8,"""And now, young Skywalker... you will die.""",星際大戰六部曲：絕地大反攻
69,8,Has anyone else noticed a certain trend ...,星際大戰六部曲：絕地大反攻
70,9,Give me Ewoks over Gungans any day!,星際大戰六部曲：絕地大反攻
71,9,Amazing,星際大戰六部曲：絕地大反攻
72,9,This One Needs To Be Watched Last...Period,星際大戰六部曲：絕地大反攻
73,4,"Your powers are weak, old man.",星際大戰六部曲：絕地大反攻
74,10,Not the best but certainly the most enjoyable of the saga.,星際大戰六部曲：絕地大反攻
75,8,"And now, young Skywalker... you will die.",星際大戰六部曲：絕地大反攻
76,8,Sign of things to come,星際大戰六部曲：絕地大反攻
77,4,a lousy conclusion,星際大戰六部曲：絕地大反攻
78,8,Nice end to the original trilogy.,星際大戰六部曲：絕地大反攻
79,7,"Not Nearly As Good as the First Two, and a Slightly Disappointing Conclusion...",星際大戰六部曲：絕地大反攻
80,1,"C rating for a B movie = 0. lame acting, dialogue, muppet show",星際大戰六部曲：絕地大反攻
81,9,Really One Chapter Ends With Another Beginning,星際大戰六部曲：絕地大反攻
82,10,The most spectacular third installment of any series...completely mind blowing,星際大戰六部曲：絕地大反攻
83,10,How Star Wars should be carried out,星際大戰六部曲：絕地大反攻
84,10,Salacious B. Crumb,星際大戰六部曲：絕地大反攻
85,10,The force is strong within this movie,星際大戰六部曲：絕地大反攻
86,8,"Not the best, but still fun",星際大戰六部曲：絕地大反攻
87,9,Emotionally Powerful,星際大戰六部曲：絕地大反攻
88,6,Well after two a letdown was due,星際大戰六部曲：絕地大反攻
89,1,One of the worst films to hold a spot on IMDb's top 250 list.,星際大戰六部曲：絕地大反攻
90,8,A Solid Conclusion,星際大戰六部曲：絕地大反攻
91,2,Bad....very bad,星際大戰六部曲：絕地大反攻
92,5,Episode 6 rehashes the same content of the previous two with little energy or intrigue,星際大戰六部曲：絕地大反攻
93,3,the weakest one of the trilogy,星際大戰六部曲：絕地大反攻
94,9,The most memorable Star Wars to me as a kid.,星際大戰六部曲：絕地大反攻
95,8,"Sufficient conclusion to the original trilogy, but should have been great",星際大戰六部曲：絕地大反攻
96,9,9 out 10,星際大戰六部曲：絕地大反攻
97,9,Return of the Jedi,星際大戰六部曲：絕地大反攻
98,4,When the series went downhill,星際大戰六部曲：絕地大反攻
99,10,This video will be returning to your VCR several times!,星際大戰六部曲：絕地大反攻
100,10,An epic finale to a fantastic saga,星際大戰六部曲：絕地大反攻
101,5,Really should have been better.,星際大戰六部曲：絕地大反攻
102,9,"While not quite as strong as the last two films, Return of the Jedi is still a great end to the trilogy after 40 years",星際大戰六部曲：絕地大反攻
103,9,The best third movie ever.,星際大戰六部曲：絕地大反攻
104,9,A Fantastic End To The Original Trilogy,星際大戰六部曲：絕地大反攻
105,9,"Rancor, Sarlacc, and Ewoks.. Oh my...",星際大戰六部曲：絕地大反攻
106,9,This is how Star Wars truly ended.,星際大戰六部曲：絕地大反攻
107,5,Yecch.,星際大戰六部曲：絕地大反攻
108,8,Star wars episode 6 return of the jedi,星際大戰六部曲：絕地大反攻
109,10,The Best,星際大戰六部曲：絕地大反攻
