,Rate,Review,Movie_name
0,10,It's a Masterpiece. Best Movie of All Time,梅爾吉勃遜之英雄本色
1,8,"Your Heart is Free, Have the Courage to Follow It...",梅爾吉勃遜之英雄本色
2,10,Freeeeeedooooommm....,梅爾吉勃遜之英雄本色
3,10,One of the best modern movies of time,梅爾吉勃遜之英雄本色
4,10,A Very Fast 3 hrs,梅爾吉勃遜之英雄本色
5,9,"Brutal, But Epic Masterpiece",梅爾吉勃遜之英雄本色
6,10,You should have courage to make this movie. ⭐,梅爾吉勃遜之英雄本色
7,10,"""Every man dies. Not every man really lives.""",梅爾吉勃遜之英雄本色
8,9,EPIC,梅爾吉勃遜之英雄本色
9,10,Historical war par excellence,梅爾吉勃遜之英雄本色
10,9,Masterpiece,梅爾吉勃遜之英雄本色
11,9,A motion picture that dares to be excessive...,梅爾吉勃遜之英雄本色
12,10,"Historical flaws aside, Braveheart is a rousing spectacle.",梅爾吉勃遜之英雄本色
13,9,My favorite Mel Gibson film,梅爾吉勃遜之英雄本色
14,9,Wallace's courage is inspiring,梅爾吉勃遜之英雄本色
15,8,Epic recreation about a notorious Scottish hero who purposes to free his country from the tyranny of Edward I,梅爾吉勃遜之英雄本色
16,10,I'd give it more if i could,梅爾吉勃遜之英雄本色
17,10,Best movie ever,梅爾吉勃遜之英雄本色
18,8,Rip Roaring Fun,梅爾吉勃遜之英雄本色
19,10,A flurry of emotions to move you in every direction (at least once),梅爾吉勃遜之英雄本色
20,10,superbly acted and directed,梅爾吉勃遜之英雄本色
21,8,One of the best films ever made,梅爾吉勃遜之英雄本色
22,10,Simply amazing,梅爾吉勃遜之英雄本色
23,6,Mel versus history,梅爾吉勃遜之英雄本色
24,9,"Simply Breathtaking,",梅爾吉勃遜之英雄本色
25,4,"Awful, AWFUL Film",梅爾吉勃遜之英雄本色
26,10,Je-ne-sais-quoi-ly great!,梅爾吉勃遜之英雄本色
27,10,The Best film of all time!,梅爾吉勃遜之英雄本色
28,10,Man vs King,梅爾吉勃遜之英雄本色
29,10,A Masterpiece,梅爾吉勃遜之英雄本色
30,7,After Thoughts,梅爾吉勃遜之英雄本色
31,10,FREEDOOOOOOOOOOM!,梅爾吉勃遜之英雄本色
32,1,Terrible movie.,梅爾吉勃遜之英雄本色
33,10,Braveheart,梅爾吉勃遜之英雄本色
34,10,"Every man dies, not every man really lives.",梅爾吉勃遜之英雄本色
35,1,"Enjoyable romp but oh, the inaccuracies!",梅爾吉勃遜之英雄本色
36,1,Medieval superman takes on evil empire in revisionist epic,梅爾吉勃遜之英雄本色
37,6,William Wallace and Gromit,梅爾吉勃遜之英雄本色
38,10,"My favorite movie, ever",梅爾吉勃遜之英雄本色
39,1,"Oh my god, howlingly bad",梅爾吉勃遜之英雄本色
40,10,This is what a MASTERPIECE looks like!! This is a perfect 10!! Phenomenal!!!,梅爾吉勃遜之英雄本色
41,1,Another fine mess from Mel Gibson,梅爾吉勃遜之英雄本色
42,9,"Gibson's best as director- melodramatic in better than expected measure, with bloody violence",梅爾吉勃遜之英雄本色
43,7,Up Scotland,梅爾吉勃遜之英雄本色
44,1,Historically inaccurate and unbelievable.,梅爾吉勃遜之英雄本色
45,5,"Unremarkable, shallow epic",梅爾吉勃遜之英雄本色
46,1,Let he whose country is without sin cast the first stone.,梅爾吉勃遜之英雄本色
47,3,Long-winded; simple-minded; ultimately disturbing.,梅爾吉勃遜之英雄本色
48,1,Offensive in every Sense,梅爾吉勃遜之英雄本色
49,5,"When Director and Star are the Same Person, the Results are Often Disappointing",梅爾吉勃遜之英雄本色
50,4,Inept Epic,梅爾吉勃遜之英雄本色
51,3,Overrated,梅爾吉勃遜之英雄本色
52,10,Deserving the Oscars,梅爾吉勃遜之英雄本色
53,2,Overrated,梅爾吉勃遜之英雄本色
54,5,Harmful fun.,梅爾吉勃遜之英雄本色
55,1,crap,梅爾吉勃遜之英雄本色
56,6,A distortion of history,梅爾吉勃遜之英雄本色
57,9,Stirring drama with a romantic soul,梅爾吉勃遜之英雄本色
58,10,The best movie ever made!!!,梅爾吉勃遜之英雄本色
59,10,A modern classic epic.,梅爾吉勃遜之英雄本色
60,10,Mel Gibson Takes the Reigns.,梅爾吉勃遜之英雄本色
61,1,unacceptable travesty of the truth,梅爾吉勃遜之英雄本色
62,10,A Great Epic; one of the best,梅爾吉勃遜之英雄本色
63,1,"Racist,homophobic,twaddle",梅爾吉勃遜之英雄本色
64,10,A True Anthem for Freedom...,梅爾吉勃遜之英雄本色
65,10,One of the best movies ever,梅爾吉勃遜之英雄本色
66,8,A well executed epic though not exactly historically accurate,梅爾吉勃遜之英雄本色
67,1,Its a wonder Alexander the Great didn't turn up!,梅爾吉勃遜之英雄本色
68,9,One of the best,梅爾吉勃遜之英雄本色
69,1,Watch this film,梅爾吉勃遜之英雄本色
70,1,Not Such A Brave-heart,梅爾吉勃遜之英雄本色
71,5,Crude and Inaccurate,梅爾吉勃遜之英雄本色
72,10,Gibson made a Masterpiece,梅爾吉勃遜之英雄本色
73,1,why this movie sucks,梅爾吉勃遜之英雄本色
74,2,Fantasy not History,梅爾吉勃遜之英雄本色
75,8,8.4,梅爾吉勃遜之英雄本色
76,5,"Entertaining, but hard to take seriously",梅爾吉勃遜之英雄本色
77,10,My favorite movie of all time.,梅爾吉勃遜之英雄本色
78,10,Timeless favorite,梅爾吉勃遜之英雄本色
79,1,Horrible,梅爾吉勃遜之英雄本色
80,1,The worst film ever made.,梅爾吉勃遜之英雄本色
81,10,One of the best films of all time!,梅爾吉勃遜之英雄本色
82,1,I don't see why everyone likes this movie so much,梅爾吉勃遜之英雄本色
83,6,Sometimes it's hard to be a Scotsman,梅爾吉勃遜之英雄本色
84,10,I'm a descendant of Sir William Wallace.,梅爾吉勃遜之英雄本色
85,10,Beautiful Cinematography...Great Acting...An Excellent Score...A Wonder to Behold...,梅爾吉勃遜之英雄本色
86,5,Monty Python's History of Britain,梅爾吉勃遜之英雄本色
87,5,the most overated film to date,梅爾吉勃遜之英雄本色
88,2,Overblown and overrated,梅爾吉勃遜之英雄本色
89,10,"After 30 years, I can still say this is one of best movies ever made",梅爾吉勃遜之英雄本色
90,1,Historically inaccurate and overrated,梅爾吉勃遜之英雄本色
91,1,An excellent film but dont take it too,梅爾吉勃遜之英雄本色
92,1,Plan 9 From Outer Space as alleged history,梅爾吉勃遜之英雄本色
93,1,A shame: history didn't pass here.,梅爾吉勃遜之英雄本色
94,1,"overlong, blurred, historical mishmash",梅爾吉勃遜之英雄本色
95,9,Top-notch work from Mel Gibson; a truly moving film,梅爾吉勃遜之英雄本色
96,1,Why O why is this even in the IMDb Top 250...?,梅爾吉勃遜之英雄本色
97,10,SPARTACUS in Scotland,梅爾吉勃遜之英雄本色
98,10,A classic that has everything you'd want in a movie,梅爾吉勃遜之英雄本色
99,9,Freedom!,梅爾吉勃遜之英雄本色
100,3,"Hi, my name is Mel Gibson. My hobbies include DUIs and taking sh*ts on history.",梅爾吉勃遜之英雄本色
101,10,One of the best History movies ever made,梅爾吉勃遜之英雄本色
102,10,I'm speechless...,梅爾吉勃遜之英雄本色
103,10,God gave birth to this movie,梅爾吉勃遜之英雄本色
104,10,War Epic masterpiece.,梅爾吉勃遜之英雄本色
105,2,Not worth the hype!!,梅爾吉勃遜之英雄本色
106,9,Feelings I never thought I had.,梅爾吉勃遜之英雄本色
107,10,wow,梅爾吉勃遜之英雄本色
108,10,Mel why didn't you keep going with the acting and directing????,梅爾吉勃遜之英雄本色
109,2,Edward Shawshanks,梅爾吉勃遜之英雄本色
110,10,Epic Masterpiece,梅爾吉勃遜之英雄本色
111,7,A decent enough film but a historical joke,梅爾吉勃遜之英雄本色
112,1,Rule Britannia,梅爾吉勃遜之英雄本色
113,10,"A Western in kilts. A beautifully shot epic, of the likes the world had not seen for some years.",梅爾吉勃遜之英雄本色
114,10,True and High Art,梅爾吉勃遜之英雄本色
115,1,If this is the best film you've ever seen - See More Films!,梅爾吉勃遜之英雄本色
116,10,Best Movie Ever!!!,梅爾吉勃遜之英雄本色
117,10,"Speaks loudly on behalf of Love, Courage and Freedom! Undeniable Masterwork!",梅爾吉勃遜之英雄本色
118,10,Masterpiece,梅爾吉勃遜之英雄本色
119,1,Mooning is the film's highlight,梅爾吉勃遜之英雄本色
120,5,Way to go re-writing history!,梅爾吉勃遜之英雄本色
121,9,9.5/10 - Freeeeeeeeeeeedom!,梅爾吉勃遜之英雄本色
122,1,Complete Rubbish,梅爾吉勃遜之英雄本色
123,10,Glorious epic and guts-directing at its best ...,梅爾吉勃遜之英雄本色
124,1,abysmal in every detail,梅爾吉勃遜之英雄本色
125,9,Excellent Film!,梅爾吉勃遜之英雄本色
126,1,Fred Flintstone fights for Scotland's FREEEEEDOM!,梅爾吉勃遜之英雄本色
127,1,disgraceful,梅爾吉勃遜之英雄本色
128,6,Nothing really all that special,梅爾吉勃遜之英雄本色
129,10,Saddest film ever.,梅爾吉勃遜之英雄本色
130,2,"history of the British Isles raped, 20th century cheers",梅爾吉勃遜之英雄本色
131,10,The Best Movie I've Ever Seen,梅爾吉勃遜之英雄本色
132,1,What a Tartan Horror: A Travesty of Scottish History,梅爾吉勃遜之英雄本色
133,1,Legendary,梅爾吉勃遜之英雄本色
134,10,"The Best Movie Of All Time, Without A Doubt",梅爾吉勃遜之英雄本色
135,9,An Inspiring and Exciting (If Historically Inaccurate) Epic,梅爾吉勃遜之英雄本色
136,10,Epic film of a Scottish legend,梅爾吉勃遜之英雄本色
137,2,More unhistorical than many,梅爾吉勃遜之英雄本色
138,10,sensational,梅爾吉勃遜之英雄本色
139,10,A Landmark!,梅爾吉勃遜之英雄本色
140,1,very funny,梅爾吉勃遜之英雄本色
141,3,The kind of drivel Hollywood insists on producing - Please can we have some films where I have to use my brain?,梅爾吉勃遜之英雄本色
142,10,About as perfect as a movie get,梅爾吉勃遜之英雄本色
143,3,Mel Gibson's Woad Movie,梅爾吉勃遜之英雄本色
144,10,A brutal and brutally moving picture,梅爾吉勃遜之英雄本色
145,10,an exciting story with a hero this in the history of Scotland.,梅爾吉勃遜之英雄本色
146,1,"Idiotic, two dimensional, anti historic claptrap",梅爾吉勃遜之英雄本色
147,1,Repetitively violent and plodding,梅爾吉勃遜之英雄本色
148,4,"Visually stunning with a wonderful score, but deeply flawed",梅爾吉勃遜之英雄本色
149,6,Incredibly Moving,梅爾吉勃遜之英雄本色
150,10,What a movie,梅爾吉勃遜之英雄本色
151,1,"The worst, not the best, movie of the year",梅爾吉勃遜之英雄本色
152,5,just another sword fighting film,梅爾吉勃遜之英雄本色
153,10,One of the best 'Best Picture' Oscar winners of all time,梅爾吉勃遜之英雄本色
154,7,"good movie, but it panders to Scots-Irish socio-politics of America",梅爾吉勃遜之英雄本色
155,10,Historically inaccurate but who cares,梅爾吉勃遜之英雄本色
156,9,Braveheart has always and always will be one of my favorites,梅爾吉勃遜之英雄本色
157,10,Best of the Best 10/10,梅爾吉勃遜之英雄本色
158,1,What a great film(BAHHH),梅爾吉勃遜之英雄本色
159,10,Easily one of the ten best movies ever,梅爾吉勃遜之英雄本色
160,2,Overrated,梅爾吉勃遜之英雄本色
161,3,"In a historically inaccurate film, Mel Gibson shows William Wallace's fight against the English",梅爾吉勃遜之英雄本色
162,10,Great Epic,梅爾吉勃遜之英雄本色
163,4,Brutal and Lack of Subtlety,梅爾吉勃遜之英雄本色
164,1,Mel Gibson has to be realistic.,梅爾吉勃遜之英雄本色
165,9,"Great Scots! Watch this movie! Every man dies, not every man truly lives to see a great film like this.",梅爾吉勃遜之英雄本色
166,10,Masterpiece,梅爾吉勃遜之英雄本色
167,2,For the guys,梅爾吉勃遜之英雄本色
168,7,Nice film to spend your time...,梅爾吉勃遜之英雄本色
169,10,10 out of 10 (I'd rate it higher if I could),梅爾吉勃遜之英雄本色
170,5,"Give Me a Break, Mel Gibson",梅爾吉勃遜之英雄本色
171,5,An embarrassment to Scotland,梅爾吉勃遜之英雄本色
172,10,Timeless Masterpiece,梅爾吉勃遜之英雄本色
173,10,This film has changed my life...,梅爾吉勃遜之英雄本色
174,10,My All-Time Favorite!!,梅爾吉勃遜之英雄本色
175,7,"An Enjoyable Film, But Winner of Five Oscars... Really?",梅爾吉勃遜之英雄本色
176,9,Perfect...,梅爾吉勃遜之英雄本色
177,10,Mel Gibsons epic battle masterpiece.,梅爾吉勃遜之英雄本色
178,10,"Every man dies, but not every man really lives",梅爾吉勃遜之英雄本色
179,10,One of the greatest movies ever,梅爾吉勃遜之英雄本色
180,1,Hard to take seriously,梅爾吉勃遜之英雄本色
181,7,A film about a man who tried to give Scotland their FREEEEDOMMMMMMMMM!,梅爾吉勃遜之英雄本色
182,9,A top-hole film - Braveheart is medieval epic film-making at its best!,梅爾吉勃遜之英雄本色
183,10,best movie ever made,梅爾吉勃遜之英雄本色
184,10,A Masterpiece That Pulls No Punches,梅爾吉勃遜之英雄本色
185,10,One of the best films ever produced,梅爾吉勃遜之英雄本色
186,10,One of the rare movies that I give a 10,梅爾吉勃遜之英雄本色
187,6,Scottish Ninja Farmers,梅爾吉勃遜之英雄本色
188,10,One of the great epics of our time,梅爾吉勃遜之英雄本色
189,1,"A vile, hateful film",梅爾吉勃遜之英雄本色
190,5,Disappointing,梅爾吉勃遜之英雄本色
191,10,A fantastic film,梅爾吉勃遜之英雄本色
192,1,Why?,梅爾吉勃遜之英雄本色
193,5,Shows the ignorance of Hollywood,梅爾吉勃遜之英雄本色
194,10,A historical nonsense but one of the best movies ever to be made if you ask me ! ! !,梅爾吉勃遜之英雄本色
195,10,Magnificent moviemaking of medieval times; Mel Gibson deserves Oscar!,梅爾吉勃遜之英雄本色
196,10,A rare great film,梅爾吉勃遜之英雄本色
197,10,advise,梅爾吉勃遜之英雄本色
198,10,The Best of the Best!,梅爾吉勃遜之英雄本色
199,10,FREDOOM!!!!! This world never meant so much to me after this masterpiece.,梅爾吉勃遜之英雄本色
