,Rate,Review,Movie_name
0,10,I have NEVER seen such a performance ... ever!,惡棍特工
1,8,Quentin Tarantino's style and Christoph Waltz's menace,惡棍特工
2,10,I can't believe I just now watched this for the first time.,惡棍特工
3,10,Tarantino's best? I think so,惡棍特工
4,10,People seem to be missing the point,惡棍特工
5,7,Pretty good,惡棍特工
6,9,Oh! What a Lovely War...,惡棍特工
7,10,Who the hell is Christoph Waltz?,惡棍特工
8,8,World War II In an Alternate Universe,惡棍特工
9,4,Hitler's Table Talk,惡棍特工
10,3,Schlock and Awe.,惡棍特工
11,8,"Great fun, a real surprise",惡棍特工
12,8,"Not for everyone...but if you like this sort of thing, watch it--it is a lot of fun.",惡棍特工
13,1,A revisionist Holocaust fantasy of far-fetched proportions!,惡棍特工
14,10,No Matter How You Spell It,惡棍特工
15,1,Fiasco,惡棍特工
16,4,A dangerous and irresponsible film from a director who used to be great...,惡棍特工
17,9,A Comedy Of Horrors,惡棍特工
18,1,"""I don't suppose you'll mind if I go out speaking the King's.""",惡棍特工
19,9,Dark but Funny Comic Fantasy,惡棍特工
20,1,This Movie Was A Bad Joke About WWII,惡棍特工
21,2,Exceptionally poor effort at pornographic sadism,惡棍特工
22,1,A failure to fuse different movie genres into one feature.,惡棍特工
23,6,Tarantino and His Italian Critics,惡棍特工
24,8,"Hey, It's Tarantino!",惡棍特工
25,6,Sorry sweaty-palmed fanboys - this is one of Tarantino's worst.,惡棍特工
26,5,What's worse than having to listen to 2 1/2 hours of Tarantino dialog?,惡棍特工
27,4,Christoph Waltz - an Oscar performance within a pile!,惡棍特工
28,8,A Rip Roaring Yarn,惡棍特工
29,1,More junk from Tarantino,惡棍特工
30,1,Inglourious Basterds waste of time film and my money,惡棍特工
31,10,Larger than life in the best cinematic ways,惡棍特工
32,2,Top 250!? Are you kidding me???????,惡棍特工
33,5,Frustrating Experience,惡棍特工
34,10,Brilliantly offbeat wartime western,惡棍特工
35,9,Waltz with Pitt,惡棍特工
36,7,The Jewish Scalphunters of Quentin Tarantino,惡棍特工
37,1,This one ain't DeathProof,惡棍特工
38,1,"Disaster Movie: probably the worst ""film"" I have ever seen....",惡棍特工
39,6,A Brilliant Filmmaker With Very Little To Say,惡棍特工
40,2,I really don't understand why people like this movie,惡棍特工
41,5,Very Boring!!!,惡棍特工
42,4,Where Tarantino fantasizes about dirty war in war,惡棍特工
43,1,"First of all, Pitt's accent ...",惡棍特工
44,1,Self indulgent and reliant on reputation,惡棍特工
45,1,Downhill since PF,惡棍特工
46,10,Tarantino Delivers!!!,惡棍特工
47,8,"Somewhat silly plot, but nevertheless quite good suspense and juicy acting performances.",惡棍特工
48,5,A mediocre effort from Tarantino. Nothing but a pastiche of films and silly sitcom dialog,惡棍特工
49,8,Business is a-Boomin',惡棍特工
50,1,Appalling,惡棍特工
51,9,Glorious indeed!,惡棍特工
52,5,Tarrantino shoots himself in the foot as 'Basterds' devolves into puerile wish fulfillment fantasy,惡棍特工
53,1,Utter $hite,惡棍特工
54,9,"Bold, brutal and brilliant.",惡棍特工
55,1,A waste of time and money,惡棍特工
56,1,A disgusting travesty,惡棍特工
57,1,Most overrated movie of the 21st Century,惡棍特工
58,1,Very disappointing,惡棍特工
59,6,"Slow and often stupid, but with some good acting",惡棍特工
60,10,Waltz is a Genius!!!!!,惡棍特工
61,9,Incredible.,惡棍特工
62,3,Rotting faeces masquerading as 'Tarentino Art',惡棍特工
63,1,Only in a sick society can a guy like Tarantino make any money.,惡棍特工
64,9,"I'm not a war film fan at all, but this is fantastic",惡棍特工
65,5,Abomination of a film,惡棍特工
66,1,I don't know WHAT this film was supposed to be,惡棍特工
67,10,Tarantino's best since Pulp Fiction - I absolutely loved it.,惡棍特工
68,1,In my opinion...awful,惡棍特工
69,8,"""We will be cruel to the Germans.""",惡棍特工
70,10,"Brave, unique and just sheer brilliant!",惡棍特工
71,4,Bring on the hate,惡棍特工
72,9,"Not quite great, but very good.",惡棍特工
73,7,"Witty, Quirky, Violent",惡棍特工
74,2,Basterdized Gloryholes,惡棍特工
75,4,Okay send up of the Euro-war film is for fans of Tarantino's dialog only,惡棍特工
76,10,a master popularizer at his very best,惡棍特工
77,9,Tarantino's War Movie,惡棍特工
78,1,Propaganda,惡棍特工
79,4,Typical Tarantino overwhelms World War II fantasy,惡棍特工
80,2,Is it possible to make a movie worse than this?,惡棍特工
81,3,When you lose your heart and soul as an artist....,惡棍特工
82,3,Not Very Glourious,惡棍特工
83,1,A True Homage to Stupidity!,惡棍特工
84,1,Another stinker from pain in the ass Quentin,惡棍特工
85,2,Childish yet boring,惡棍特工
86,1,Contemptible and awful beyond belief - America's descent into barbarism continues,惡棍特工
87,4,"Terrible movie, disappointed Tarantino fan",惡棍特工
88,7,Messy and indecisive,惡棍特工
