,Rate,Review,Movie_name
0,10,"A slow burner, a fine achievement",心靈捕手
1,10,Incredible,心靈捕手
2,10,This movie has a brilliant script...,心靈捕手
3,10,The Genius In Our Midst,心靈捕手
4,8,Its central performances are phenomenal and its inevitable emotional release is truly powerful.,心靈捕手
5,9,"""I had to go see about a girl""",心靈捕手
6,9,Beautiful,心靈捕手
7,8,Two Pals Make Good in Hollywood,心靈捕手
8,10,A life lesson !,心靈捕手
9,10,"A Sensitive, Remarkable Look at Genius",心靈捕手
10,10,Good Will Hunting Review,心靈捕手
11,10,Thought provoking classic,心靈捕手
12,10,Inspired genius ABSOLUTELY worth revisiting in 2019 - COMPULSORY for first-timers,心靈捕手
13,10,Exceptional film.,心靈捕手
14,10,"""So what do you really wanna do?""",心靈捕手
15,10,A Great Script And Fine Acting,心靈捕手
16,8,Thoughtful Warm Film,心靈捕手
17,10,Worth Seeing,心靈捕手
18,9,terrific characters,心靈捕手
19,8,Good but overrated and overhyped,心靈捕手
20,10,A Movie About Men: The Internal Fight Club,心靈捕手
21,9,One of the best feel-good movies out there,心靈捕手
22,10,"Incredible, moving movie.",心靈捕手
23,10,Every high school student should see this film and discuss.,心靈捕手
24,7,good will hunting,心靈捕手
25,9,"In short, it's ace!",心靈捕手
26,10,"""Whatever blows your hair back"" - This movie does it for me!",心靈捕手
27,5,Goodish Will Hunting,心靈捕手
28,10,Do i really know anything about life?,心靈捕手
29,8,GOOD WILL,心靈捕手
30,8,Non-yoke,心靈捕手
31,8,Good Will Hunting,心靈捕手
32,10,Wow,心靈捕手
33,9,Lived up to the hype!!,心靈捕手
34,10,Just fantastic,心靈捕手
35,7,"Quite good, except for a bogus ending",心靈捕手
36,8,The Best Thing Kevin Smith Ever Touched,心靈捕手
37,9,Ranked 87th on the site though it is better than at least 1/3 of films rated higher on here,心靈捕手
38,5,Pretentious and Manipulative,心靈捕手
39,4,It`s Not Good,心靈捕手
40,5,Robin William's is great. The rest of the film is average,心靈捕手
41,10,The genius in the crowd,心靈捕手
42,4,Contrived & Irrelevant...,心靈捕手
43,10,"""That boy is wicked smaht.""",心靈捕手
44,9,One of the best films of 1997,心靈捕手
45,10,Beautiful Film About Emotional Intelligence,心靈捕手
46,9,Solid.,心靈捕手
47,8,Funny and Brilliant- One of the Best Films of 1997,心靈捕手
48,2,"To tell the truth, I thought it was boring",心靈捕手
49,10,Amazing,心靈捕手
50,1,Unbearable !,心靈捕手
51,5,Robin Williams Stole Burt Reynolds Oscar!!,心靈捕手
52,1,"No, Bad",心靈捕手
53,10,A phenomenal movie,心靈捕手
54,10,"If you don't get emotional when watching the movie, you're crazy.",心靈捕手
55,7,An Emotionally Disturbed Mathmatical Genius from South Boston,心靈捕手
56,8,How you like dem apples?,心靈捕手
57,10,Robin Williams was an absolute legend,心靈捕手
58,8,Robin Williams steals the show,心靈捕手
59,7,James Dean buys a pocket calculator.,心靈捕手
60,1,"The myth of ""genius""",心靈捕手
61,9,A Career Jump Start For Matt Damon and Ben Affleck,心靈捕手
62,10,Good Will Hunting is a wonderful drama about the talented young mathematician Will,心靈捕手
63,1,"Can you say ""hype""?",心靈捕手
64,9,thoughtfull movie,心靈捕手
65,6,Manipulative and Heartwarming,心靈捕手
66,3,good script hunting?,心靈捕手
67,7,Good Will Hunting,心靈捕手
68,5,Not By Brains Alone,心靈捕手
69,7,"Good Movie, But Overhyped",心靈捕手
70,8,Real wonderful Screenplay,心靈捕手
71,2,Extremely dissapointing,心靈捕手
72,10,Who are you and what do you want to do,心靈捕手
73,8,A Working Class Hero Is Something to Be,心靈捕手
74,10,The boys done good... (May Contain Spoilers),心靈捕手
75,10,Must See Flick,心靈捕手
76,3,Good Will Bluffing - An Adolescent Smugfest,心靈捕手
77,8,Very powerful,心靈捕手
78,10,One of the best films of all time,心靈捕手
79,10,One of the most moving films of all time.,心靈捕手
80,10,Fantastic,心靈捕手
81,10,Once in a decade,心靈捕手
82,9,It's never too late for a new start on life,心靈捕手
83,10,1990s masterpiece,心靈捕手
84,10,Life Lessons!!,心靈捕手
85,9,A line that makes people Fear,心靈捕手
86,9,"""It's not your fault""",心靈捕手
87,10,"Deep, beautiful and inspirational.",心靈捕手
88,7,"An enjoyable and moving film, despite the fumbles of Affleck.",心靈捕手
89,8,"You say Minnie Driver is ugly, and I say you should go to a hospital.",心靈捕手
90,7,Good movie; bad script,心靈捕手
91,8,great!,心靈捕手
92,10,Changed my life,心靈捕手
93,8,Great but not a homerun,心靈捕手
94,1,Not all that,心靈捕手
95,10,When You Find That Perfect Film . . .,心靈捕手
96,10,Good Will Hunting,心靈捕手
97,1,"and now, ABC After school special presents.",心靈捕手
98,10,Brilliant,心靈捕手
99,10,One of the most powerful movies I've witnessed,心靈捕手
100,1,Not So Good Will Hunting,心靈捕手
101,10,The feels,心靈捕手
102,8,Very Good,心靈捕手
103,8,Good Will Hunting - A gem of a movie,心靈捕手
104,9,Hell and the Lonely genius,心靈捕手
105,3,Annoying self-aggrandizement,心靈捕手
106,4,Garbled Nonsense,心靈捕手
107,5,"F***, Will Hunting (the character) isn't that f***ing good",心靈捕手
108,9,Good Will Hunting,心靈捕手
109,9,Excellent...except for Matt Damon,心靈捕手
110,6,"Eh, overrated.",心靈捕手
111,6,So unrealistic that it hurts,心靈捕手
112,9,"Well Deserved Oscars for Williams, Damon and Affleck",心靈捕手
113,6,Easy Math,心靈捕手
114,5,"Way, Way, WAY Overrated, Maudlin, Schlocky Fairy Tale",心靈捕手
115,9,A brilliant movie on nurturing a student and mentor relationship,心靈捕手
116,7,Nothing too special,心靈捕手
117,7,How did you believe this!?,心靈捕手
118,10,A superb story with great actors,心靈捕手
119,10,This movie stole my heart,心靈捕手
120,3,A genius kid from the streets conquers Harvard..,心靈捕手
121,9,HOW DO YA LIKE THEM APPLES,心靈捕手
122,3,Over-hyped Banal Trash,心靈捕手
123,9,Good Will Hunting,心靈捕手
124,10,One of Those Rare Moments in Film History - A Modern Classic,心靈捕手
125,3,I do not understand this films greatness,心靈捕手
126,8,Very moving,心靈捕手
