,Rate,Review,Movie_name
0,10,A great movie you can watch again and again,鬥陣俱樂部
1,10,Superb,鬥陣俱樂部
2,10,Fincher's tour de force is a bruising assault on the senses,鬥陣俱樂部
3,10,Welcome to movie heaven!,鬥陣俱樂部
4,9,"You love it or you hate it, personally I loved it",鬥陣俱樂部
5,10,Crazy good,鬥陣俱樂部
6,8,We should actually talk about the Fight Club,鬥陣俱樂部
7,10,An unpredictable movie.,鬥陣俱樂部
8,10,HOW THIS IS NOT EVERYONE'S FAVORITE MOVIE IS BESIDE ME,鬥陣俱樂部
9,10,Go in completely blind,鬥陣俱樂部
10,10,Watch it atleast twice,鬥陣俱樂部
11,9,The things you own end up owning you.,鬥陣俱樂部
12,9,It's Hard to Take Your Eyes Away,鬥陣俱樂部
13,10,a dangerously brilliant film that entertains as well as enlightens.,鬥陣俱樂部
14,10,A unique film,鬥陣俱樂部
15,7,The first rule of Fight Club: You never talk about how over-hyped Fight Club is,鬥陣俱樂部
16,9,Not about fighting,鬥陣俱樂部
17,10,I study philosophy but this film took me for a ride,鬥陣俱樂部
18,10,Delightful Romantic comedy,鬥陣俱樂部
19,6,Revisiting Fight Club,鬥陣俱樂部
20,9,This is why we watch movies.,鬥陣俱樂部
21,10,It doesn't get much better than this,鬥陣俱樂部
22,10,"Crazy, Cult, Plot Twist, Awesome = Fight Club",鬥陣俱樂部
23,10,This is what great movies are all about!,鬥陣俱樂部
24,10,Fight Club,鬥陣俱樂部
25,10,G.O.A.T.,鬥陣俱樂部
26,10,I am Jack's kick-ass review,鬥陣俱樂部
27,8,Self help to the extreme.,鬥陣俱樂部
28,10,Perfect Club!,鬥陣俱樂部
29,10,A controversial satire and a contemporary classic. perhaps the most post-9/11 film to have been made pre-9/11,鬥陣俱樂部
30,10,Great Film: Deserved Several Academy Award Nominations,鬥陣俱樂部
31,10,Quite an accomplishment,鬥陣俱樂部
32,10,22 years later and still hits me every single time,鬥陣俱樂部
33,7,This movie is overrated,鬥陣俱樂部
34,7,"Oh, Fight Club, you almost had me there",鬥陣俱樂部
35,10,A lot of depth for those who look.,鬥陣俱樂部
36,10,The things you own ends up owning you.,鬥陣俱樂部
37,5,A Pretty Looking Nightmare,鬥陣俱樂部
38,7,So good but what an ending,鬥陣俱樂部
39,5,Honestly did not enjoy this movie at all......,鬥陣俱樂部
40,5,Fincher's half,鬥陣俱樂部
41,3,Style over substance.,鬥陣俱樂部
42,10,Probably the best movie of the decade,鬥陣俱樂部
43,10,"Wow, what a fun ride!",鬥陣俱樂部
44,10,Very better than Inception,鬥陣俱樂部
45,4,I don't think so,鬥陣俱樂部
46,4,"Very, Very Ordinary",鬥陣俱樂部
47,10,I haven't seen this in a decade probably...,鬥陣俱樂部
48,6,love the premise at the start but not the twist,鬥陣俱樂部
49,10,A rare film that challenges the viewer to come up with his own interpretations,鬥陣俱樂部
50,10,The Ultimate Cinematic Trip,鬥陣俱樂部
51,10,Generally positive comments,鬥陣俱樂部
52,10,awesome fight club oh we can't talk about fight club,鬥陣俱樂部
53,10,Not what I expected. One of the best movies ever made.,鬥陣俱樂部
54,9,Brilliant Direction and Superb Acting,鬥陣俱樂部
55,1,"435,000 people gave this movie a 10",鬥陣俱樂部
56,1,Overrated by wanna-be intellectuals,鬥陣俱樂部
57,1,Lame,鬥陣俱樂部
58,5,Extremely Overrated,鬥陣俱樂部
59,1,One of the Stupidest Films Ever Made,鬥陣俱樂部
60,1,What a completely hollow pose this strikes...,鬥陣俱樂部
61,8,"Great second half, strong performances",鬥陣俱樂部
62,10,Special,鬥陣俱樂部
63,1,One of the dumbest movies ever!,鬥陣俱樂部
64,1,"Bloated, irresponsible, self-indulgent trash!",鬥陣俱樂部
65,10,You never forget the first time you watch Fight Club.,鬥陣俱樂部
66,9,A Favorite and a Classic!,鬥陣俱樂部
67,3,The rule of the Club is not to talk about the club. Is it necessary at all?,鬥陣俱樂部
68,10,A complete classic.,鬥陣俱樂部
69,5,Not my Cup of tea,鬥陣俱樂部
70,10,Classic movie,鬥陣俱樂部
71,1,Precious and obvious,鬥陣俱樂部
72,1,I could quite happily die than watch this rubbish again!,鬥陣俱樂部
73,1,rejection of consumerism hard to swallow...,鬥陣俱樂部
74,10,Don't talk about it.,鬥陣俱樂部
75,1,It stinks!,鬥陣俱樂部
76,2,Nice twist.,鬥陣俱樂部
77,5,Somewhat memorable,鬥陣俱樂部
78,9,This film has aged well,鬥陣俱樂部
79,10,One of the Best Films Of All Time With a Perfect Script,鬥陣俱樂部
80,10,The greatest cinematic trip i've experienced!,鬥陣俱樂部
81,10,"Profound standpoint about shackles and freedom, material and spiritual.",鬥陣俱樂部
82,5,Rebels without a cause.,鬥陣俱樂部
83,2,SLEEPER.,鬥陣俱樂部
84,4,Highly Overrated!!!,鬥陣俱樂部
85,8,"""We have front row seats for this theater of mass destruction"".",鬥陣俱樂部
86,10,"One of Norton's best, year too",鬥陣俱樂部
87,10,Maybe Golf Can Fill The Void!!,鬥陣俱樂部
88,10,STILL THE BEST MOVIE OF ALL TIME!!!,鬥陣俱樂部
89,7,Pretty Good - But Not Great,鬥陣俱樂部
90,1,"boring, over-rated, pretentious, confused, and very silly.",鬥陣俱樂部
91,1,The Joys of Sado-Masochism,鬥陣俱樂部
92,2,Not that great,鬥陣俱樂部
93,3,Wretched and Unforgivable,鬥陣俱樂部
94,1,Another Fincher fairy tale,鬥陣俱樂部
95,8,#10 in the IMDb top 250.....really?,鬥陣俱樂部
96,8,Don't talk about Fight Club,鬥陣俱樂部
97,9,First and Second rule of Fight club: Don't talk about Fight Club.,鬥陣俱樂部
98,10,Fincher's best film along with Se7en,鬥陣俱樂部
99,4,Clearly I'm not in the target audience,鬥陣俱樂部
100,5,So Pretentious . So Overblown . So Overrated,鬥陣俱樂部
101,5,How did this movie get in the top 250?,鬥陣俱樂部
102,1,A big disappointment..,鬥陣俱樂部
103,1,It used to be pertinent...,鬥陣俱樂部
104,10,One of the best films of the decade and also one of the most important,鬥陣俱樂部
