,Rate,Review,Movie_name
0,10,Awesome,辛德勒的名單
1,10,"Bring me the heads of Hitler, Himmler, Eichmann n Mengele.",辛德勒的名單
2,9,What he hell is wrong with the people that commented on the 1st 4 pages of reviews???,辛德勒的名單
3,10,"Whoever saves one life, saves the world entirely. ⭐",辛德勒的名單
4,10,You don't have to be Jewish to be touched by this response to inhumanity.,辛德勒的名單
5,10,Spielberg's most important work,辛德勒的名單
6,10,Stunning - Spielberg's Greatest Film & Top 💯 All Time Best,辛德勒的名單
7,9,"Profound Beauty! If you appreciate art, this is a masterpiece.",辛德勒的名單
8,9,Based on a true story,辛德勒的名單
9,10,"Incredibly moving and visually disturbing, Spielburg's best by far!",辛德勒的名單
10,10,One of the best movies ever made.,辛德勒的名單
11,10,"""The list is an absolute good, the list is life...""",辛德勒的名單
12,10,It's About Our Humanity,辛德勒的名單
13,10,Devastating,辛德勒的名單
14,10,Color Choice = Genius,辛德勒的名單
15,10,Spielberg at his best,辛德勒的名單
16,10,"fabulous, should save in movies history",辛德勒的名單
17,10,Amazing!,辛德勒的名單
18,9,The worrying amount of 1/10s is why we still need this film and holocaust movies in general,辛德勒的名單
19,8,One of the ultimate anti-war movies,辛德勒的名單
20,9,Excellent - Spielberg's Best,辛德勒的名單
21,9,the best of the Spielberg I watched,辛德勒的名單
22,10,Possibly THE BEST example of a Best Picture winner,辛德勒的名單
23,10,"""This list... is an absolute good. The list is life. All around its margins lies the gulf.""",辛德勒的名單
24,10,When The State Dehumanizes A People,辛德勒的名單
25,10,One of Very Few Movies That Has Ever Made Me Cry,辛德勒的名單
26,10,This ain't Hogan's Heroes...,辛德勒的名單
27,9,"Harrowing, Disturbing & Beautifully Filmed",辛德勒的名單
28,10,One of the Best Films Ever Made. Spielberg's Best,辛德勒的名單
29,10,My brief review of the film,辛德勒的名單
30,10,The Master of Film pours his heart out in this heartbreaking and unforgiving memento for the surviving Jews!,辛德勒的名單
31,9,If I could give a serious 10 for this movie,辛德勒的名單
32,8,A moving story.,辛德勒的名單
33,10,So real i forgot i was watching a movie!,辛德勒的名單
34,9,Difficult...but very necessary,辛德勒的名單
35,10,Best movie,辛德勒的名單
36,10,~One of the Greatest Films of All Time~,辛德勒的名單
37,9,Heartbreaking and powerful,辛德勒的名單
38,10,Thank You Steven Spielberg,辛德勒的名單
39,9,Steven Spielberg's greatest cinematic achievement,辛德勒的名單
40,10,Vehement,辛德勒的名單
41,10,"Its gonna be our next generation's classic. Deep, solid, and undoubtedly immutable !",辛德勒的名單
42,10,""" I'm afraid your quite mistaken, that is not snow, but the ashes of Human Beings """,辛德勒的名單
43,10,Heart-wrenching,辛德勒的名單
44,9,Tragedy in the Mainstream,辛德勒的名單
45,10,My favourite movie,辛德勒的名單
46,10,Arguably Steven Spielberg's greatest film ever.,辛德勒的名單
47,9,The masterpiece,辛德勒的名單
48,7,Thoughts on Schindler's List,辛德勒的名單
49,9,Schindler – The Messiah.,辛德勒的名單
50,10,"""I didn't do enough.""",辛德勒的名單
51,10,"Humanity at it's best , Inhumanity at it's worse",辛德勒的名單
52,10,One of the All-Time Quintessential American Films,辛德勒的名單
53,10,My Favourite Film,辛德勒的名單
54,10,People were bawling in the audience,辛德勒的名單
55,10,Right at the Top of My List!,辛德勒的名單
56,10,I can't even watch it,辛德勒的名單
57,10,Quite simply the greatest achievement in movie making this century.,辛德勒的名單
58,7,don't take this personally,辛德勒的名單
59,10,Unforgettable,辛德勒的名單
60,10,A masterpiece,辛德勒的名單
61,10,A pure masterpiece,辛德勒的名單
62,10,A beautiful film about the holocaust horror,辛德勒的名單
63,10,"""Spielberg's definitive cinematic masterpiece""",辛德勒的名單
64,10,Great movie,辛德勒的名單
65,10,"Great and powerful movie, Liam Neeson at his best!",辛德勒的名單
66,9,"A must-watch movie, if you love a little heavy but a top quality cinema.",辛德勒的名單
67,10,An Excellent Film on Holocaust.......,辛德勒的名單
68,9,"Great film, Spielberg's best",辛德勒的名單
69,9,Powerful Film!,辛德勒的名單
70,8,A truly terrifying picture.,辛德勒的名單
71,10,"""Schindler's List"": Film as Testament",辛德勒的名單
72,8,Schindler's List: 8/10,辛德勒的名單
73,10,"Schindler's List (1993) - This List is an Absolute Good, Mr. Spielberg!",辛德勒的名單
74,8,People can change.,辛德勒的名單
75,10,Spielberg's best.,辛德勒的名單
76,9,Oskars Brave Odyssey,辛德勒的名單
77,10,"All I Can Say ""Masterpiece""",辛德勒的名單
78,10,Excellent!,辛德勒的名單
79,8,Schindler's divine and sacred list!,辛德勒的名單
80,10,Spielberg's cinema is simply great!,辛德勒的名單
81,9,a lawyer turned business man finds a loophole to disguise's a job role for endangered people,辛德勒的名單
82,10,Magnificent and Unforgettable masterpiece,辛德勒的名單
83,9,The best movie ever made.,辛德勒的名單
84,10,Great Drama,辛德勒的名單
85,9,Difficult to not feel every moment yet more important to never forget,辛德勒的名單
86,10,"Stunning film, indeed. Without a doubt...",辛德勒的名單
87,8,One of a kind,辛德勒的名單
88,10,"Whoever saves one life, saves the world entire.",辛德勒的名單
89,10,Schindler's List,辛德勒的名單
90,9,Spielberg's Best,辛德勒的名單
91,7,Amazing 3 Hour History Lesson,辛德勒的名單
92,10,A landmark movie,辛德勒的名單
93,10,"""Not the work – the presentation""",辛德勒的名單
94,10,Spielberg's best,辛德勒的名單
95,9,One of the best movies of all time,辛德勒的名單
96,10,Must Be 100 Out Of 100,辛德勒的名單
97,9,Jewel Of Cinema. ♦ 93%,辛德勒的名單
98,10,If I could save one more life,辛德勒的名單
99,10,Just about Flawless but Painful to watch!,辛德勒的名單
100,10,A fantastic film that I had to see twice,辛德勒的名單
101,9,"Spielberg shows his incredible range, as one of the true greats comes to Blu-ray.",辛德勒的名單
102,9,"Whoever saves one life, saves the world entire.",辛德勒的名單
103,9,Τhe list of the savior...,辛德勒的名單
104,9,Spielberg's successful attempt at a serious drama,辛德勒的名單
105,10,"""Whoever saves one life, saves the world entire.""",辛德勒的名單
106,10,An Unforgettable Experience...,辛德勒的名單
107,10,Excruciating masterpiece,辛德勒的名單
108,10,'THE' Best Masterpiece of all Time.,辛德勒的名單
109,10,"Beyond a film: A monument, a memorial, a masterpiece",辛德勒的名單
110,10,Brilliant,辛德勒的名單
111,10,German's list is shamefully short (cinematheque),辛德勒的名單
112,10,Remarkable,辛德勒的名單
113,9,Feels short at over three hours,辛德勒的名單
114,10,Unflinching Spielberg.,辛德勒的名單
115,10,"The Best Drama, with top comic asides.",辛德勒的名單
116,8,Steven Spielberg finally pulled it all together in one film to please the adult public and the Academy Awards voters alike.,辛德勒的名單
117,10,"Don't avoid this film: despite the horrific setting, the good guys win!",辛德勒的名單
118,9,Recognition for Spielberg long overdue,辛德勒的名單
119,10,Righteous among the nations,辛德勒的名單
120,9,"A Timeless Classic,",辛德勒的名單
